seed,baseline,capsule_recall@k,subgraph_relevance,relation_hit_rate,returned_memory_usefulness,stale_node_injection_rate,conflict_resolution_success,latency_ms,avg_returned_nodes,avg_raw_returned_nodes,avg_returned_edges
0,no_long_term_memory,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0,0,0
0,vector_memory,0.0833,0.1111,0.0,0.0924,0.2361,0.1667,1.1917,6,12,0
0,flat_summary_memory,1.0,0.8333,0.0,0.75,0.0,1.0,1.2655,6,12,0
0,naive_graph_memory,0.2083,0.1389,0.0023,0.1389,0.4305,0.75,5.4339,6,12,12
0,clarks_nutcracker_graph,0.6667,0.4722,0.0347,0.466,0.0,1.0,10.435,5.75,11.25,11.25
1,no_long_term_memory,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0,0,0
1,vector_memory,0.1667,0.1111,0.0,0.107,0.1111,0.5,1.149,6,12,0
1,flat_summary_memory,1.0,0.8333,0.0,0.75,0.0,1.0,1.2547,6,12,0
1,naive_graph_memory,0.2292,0.1528,0.0,0.1528,0.4028,0.75,5.187,6,12,12
1,clarks_nutcracker_graph,0.625,0.4166,0.0324,0.4111,0.0,1.0,9.9548,6,12,12
