seed,baseline,capsule_recall@k,subgraph_relevance,relation_hit_rate,returned_memory_usefulness,stale_node_injection_rate,conflict_resolution_success,latency_ms,avg_returned_nodes,avg_raw_returned_nodes,avg_returned_edges
0,no_long_term_memory,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0,0,0
0,vector_memory,0.0,0.0556,0.0,0.0389,0.2222,0.0,1.5597,6,12,0
0,flat_summary_memory,1.0,0.8333,0.0,0.75,0.0,1.0,1.6378,6,12,0
0,naive_graph_memory,0.0833,0.0556,0.0,0.0556,0.4444,0.3333,7.415,6,12,12
0,clarks_nutcracker_graph,0.6667,0.5556,0.0371,0.55,0.0,1.0,13.6295,5,9,9
1,no_long_term_memory,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0,0,0
1,vector_memory,0.0833,0.0556,0.0,0.0556,0.0556,0.3333,1.927,6,12,0
1,flat_summary_memory,1.0,0.8333,0.0,0.75,0.0,1.0,2.0193,6,12,0
1,naive_graph_memory,0.1667,0.1111,0.0,0.1111,0.5,0.6667,8.3416,6,12,12
1,clarks_nutcracker_graph,0.6667,0.4444,0.0278,0.4389,0.0,1.0,14.7217,6,12,12
2,no_long_term_memory,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,0,0
2,vector_memory,0.25,0.1667,0.0,0.1667,0.1667,0.6667,2.1515,6,12,0
2,flat_summary_memory,1.0,0.8333,0.0,0.75,0.0,1.0,1.7863,6,12,0
2,naive_graph_memory,0.25,0.1667,0.0,0.1667,0.5,1.0,8.2755,6,12,12
2,clarks_nutcracker_graph,0.75,0.5,0.0371,0.4917,0.0,1.0,17.044,6,12,12
