seed,baseline,capsule_recall@k,subgraph_relevance,relation_hit_rate,returned_memory_usefulness,stale_node_injection_rate,conflict_resolution_success,latency_ms,avg_returned_nodes,avg_raw_returned_nodes,avg_returned_edges
0,no_long_term_memory,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0,0,0
0,vector_memory,0.0833,0.1111,0.0,0.0924,0.2361,0.1667,1.7092,6,12,0
0,flat_summary_memory,1.0,0.8333,0.0,0.75,0.0,1.0,1.7488,6,12,0
0,naive_graph_memory,0.3542,0.2361,0.0116,0.2347,0.4167,0.9167,7.7985,6,12,12
0,clarks_nutcracker_graph,0.6667,0.4722,0.0347,0.466,0.0,1.0,15.115,5.75,11.25,11.25
1,no_long_term_memory,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0,0,0
1,vector_memory,0.1667,0.1111,0.0,0.107,0.1111,0.5,2.5385,6,12,0
1,flat_summary_memory,1.0,0.8333,0.0,0.75,0.0,1.0,2.6432,6,12,0
1,naive_graph_memory,0.3125,0.2083,0.0069,0.2083,0.375,0.9167,10.3036,6,12,12
1,clarks_nutcracker_graph,0.625,0.4166,0.0324,0.4111,0.0,1.0,19.4931,6,12,12
2,no_long_term_memory,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0,0,0
2,vector_memory,0.2083,0.1389,0.0,0.1389,0.1667,0.75,2.4746,6,12,0
2,flat_summary_memory,1.0,0.8333,0.0,0.75,0.0,1.0,2.887,6,12,0
2,naive_graph_memory,0.3333,0.2222,0.0069,0.2222,0.4444,1.0,10.5005,6,12,12
2,clarks_nutcracker_graph,0.6875,0.4583,0.0278,0.4514,0.0,1.0,19.8236,6,12,12
3,no_long_term_memory,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0,0,0
3,vector_memory,0.1042,0.0833,0.0,0.0792,0.1667,0.4167,2.6579,6,12,0
3,flat_summary_memory,1.0,0.8333,0.0,0.75,0.0,1.0,2.9976,6,12,0
3,naive_graph_memory,0.375,0.25,0.0069,0.25,0.3194,0.9167,11.4071,6,12,12
3,clarks_nutcracker_graph,0.6042,0.4305,0.0371,0.4257,0.0,1.0,22.7185,5.75,11.25,11.25
4,no_long_term_memory,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0,0,0
4,vector_memory,0.1667,0.1111,0.0,0.1111,0.1667,0.5833,2.3636,6,12,0
4,flat_summary_memory,1.0,0.8333,0.0,0.75,0.0,1.0,2.5702,6,12,0
4,naive_graph_memory,0.25,0.1667,0.0023,0.1667,0.4305,0.75,10.1371,6,12,12
4,clarks_nutcracker_graph,0.625,0.4166,0.044,0.4118,0.0,0.9167,19.42,6,12,12
