seed,baseline,capsule_recall@k,subgraph_relevance,relation_hit_rate,returned_memory_usefulness,stale_node_injection_rate,conflict_resolution_success,latency_ms,avg_returned_nodes,avg_raw_returned_nodes,avg_returned_edges
0,no_long_term_memory,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0,0,0
0,vector_memory,0.0,0.0556,0.0,0.0389,0.2222,0.0,1.2951,6,12,0
0,flat_summary_memory,1.0,0.8333,0.0,0.75,0.0,1.0,1.3461,6,12,0
0,naive_graph_memory,0.25,0.1667,0.0093,0.1667,0.4444,0.6667,5.778,6,12,12
0,clarks_nutcracker_graph,0.6667,0.5556,0.0371,0.55,0.0,1.0,11.7086,5,9,9
1,no_long_term_memory,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0,0,0
1,vector_memory,0.0833,0.0556,0.0,0.0556,0.0556,0.3333,1.5002,6,12,0
1,flat_summary_memory,1.0,0.8333,0.0,0.75,0.0,1.0,1.4626,6,12,0
1,naive_graph_memory,0.1667,0.1111,0.0,0.1111,0.5,0.6667,6.7473,6,12,12
1,clarks_nutcracker_graph,0.6667,0.4444,0.0278,0.4389,0.0,1.0,13.4628,6,12,12
2,no_long_term_memory,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0,0,0
2,vector_memory,0.25,0.1667,0.0,0.1667,0.1667,0.6667,2.5166,6,12,0
2,flat_summary_memory,1.0,0.8333,0.0,0.75,0.0,1.0,2.1828,6,12,0
2,naive_graph_memory,0.25,0.1667,0.0,0.1667,0.5556,1.0,8.3577,6,12,12
2,clarks_nutcracker_graph,0.75,0.5,0.0371,0.4917,0.0,1.0,18.7629,6,12,12
