experiment,primary_metric,baseline_variant,full_primary_mean,baseline_primary_mean,primary_gap
rq1_long_horizon_tasks,quality_score,multi_agent_no_elephant,0.6566,0.5647,0.0919
rq1_long_horizon_tasks,quality_score,multi_agent_plain_logs,0.6566,0.6041,0.0525
rq1_long_horizon_tasks,quality_score,single_agent_basic,0.6566,0.4103,0.2463
rq2_elephant_attention,context_precision,multi_agent_no_elephant,1.0,0.6667,0.3333
rq2_elephant_attention,context_precision,single_agent_long_context,1.0,0.5,0.5
rq3_seagull_memory,memory_reuse_hit_rate,multi_agent_naive_memory,0.5807,0.268,0.3127
rq3_seagull_memory,memory_reuse_hit_rate,multi_agent_no_seagull,0.5807,0.0744,0.5062
rq4_budget_robustness,quality_score,multi_agent_no_compression,0.3179,0.2486,0.0693
rq4_budget_robustness,quality_score,multi_agent_no_long_horizon,0.3179,0.2641,0.0539
rq5_observability,diagnostic_accuracy,multi_agent_plain_logs,1.0,0.0,1.0
