experiment,variant,model_name,primary_metric,n,success_mean,success_std,success_ci95_low,success_ci95_high,primary_mean,primary_std,primary_ci95_low,primary_ci95_high,token_mean,token_std,token_ci95_low,token_ci95_high
rq1_long_horizon_tasks,full_framework,deepseek-chat,quality_score,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rq1_long_horizon_tasks,full_framework,gpt-4o,quality_score,20,1.0,0.0,1.0,1.0,0.6617,0.0338,0.6469,0.6765,2179.3,518.4057,1952.0987,2406.5013
rq1_long_horizon_tasks,full_framework,gpt-4o-mini,quality_score,8,1.0,0.0,1.0,1.0,0.6727,0.0249,0.6555,0.69,3137.25,720.4595,2637.997,3636.503
rq1_long_horizon_tasks,full_framework,qwen-plus,quality_score,8,1.0,0.0,1.0,1.0,0.6503,0.0241,0.6337,0.667,4130.0,1875.13,2830.6012,5429.3988
rq1_long_horizon_tasks,multi_agent_no_elephant,gpt-4o,quality_score,8,1.0,0.0,1.0,1.0,0.6015,0.0315,0.5796,0.6233,2229.5,872.4227,1624.9419,2834.0581
rq1_long_horizon_tasks,multi_agent_no_elephant,gpt-4o-mini,quality_score,8,0.5,0.5345,0.1296,0.8704,0.5638,0.0296,0.5434,0.5843,2980.875,632.4321,2542.6219,3419.1281
rq1_long_horizon_tasks,single_agent_basic,deepseek-chat,quality_score,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rq1_long_horizon_tasks,single_agent_basic,gpt-4o,quality_score,8,0.0,0.0,0.0,0.0,0.4176,0.0611,0.3753,0.4599,663.75,63.2721,619.9047,707.5953
rq1_long_horizon_tasks,single_agent_basic,gpt-4o-mini,quality_score,8,0.0,0.0,0.0,0.0,0.3916,0.0573,0.3519,0.4312,1051.125,254.4605,874.7929,1227.4571
rq1_long_horizon_tasks,single_agent_basic,qwen-plus,quality_score,8,0.0,0.0,0.0,0.0,0.3785,0.0553,0.3401,0.4168,1305.375,263.7888,1122.5787,1488.1713
rq2_elephant_attention,full_framework,gpt-4o,context_precision,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,820.5,456.0839,188.4,1452.6
rq2_elephant_attention,full_framework,gpt-4o-mini,context_precision,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1149.5,89.8026,1025.04,1273.96
