experiment,variant,model_name,primary_metric,n,success_mean,success_std,success_ci95_low,success_ci95_high,primary_mean,primary_std,primary_ci95_low,primary_ci95_high,token_mean,token_std,token_ci95_low,token_ci95_high
rq1_long_horizon_tasks,full_framework,gpt-4o,quality_score,20,1.0,0.0,1.0,1.0,0.6617,0.0338,0.6469,0.6765,2179.3,518.4057,1952.0987,2406.5013
rq1_long_horizon_tasks,multi_agent_no_elephant,gpt-4o,quality_score,8,1.0,0.0,1.0,1.0,0.6015,0.0315,0.5796,0.6233,2229.5,872.4227,1624.9419,2834.0581
rq1_long_horizon_tasks,single_agent_basic,gpt-4o,quality_score,8,0.0,0.0,0.0,0.0,0.4176,0.0611,0.3753,0.4599,663.75,63.2721,619.9047,707.5953
rq2_elephant_attention,full_framework,gpt-4o,context_precision,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,820.5,456.0839,188.4,1452.6
rq2_elephant_attention,multi_agent_no_elephant,gpt-4o,context_precision,2,1.0,0.0,1.0,1.0,0.6667,0.0,0.6667,0.6667,817.5,482.9539,148.16,1486.84
rq3_seagull_memory,full_framework,gpt-4o,memory_reuse_hit_rate,4,1.0,0.0,1.0,1.0,0.44,0.5081,-0.0579,0.9379,1210.0,1074.8101,156.6861,2263.3139
rq3_seagull_memory,multi_agent_naive_memory,gpt-4o,memory_reuse_hit_rate,4,1.0,0.0,1.0,1.0,0.22,0.254,-0.029,0.469,1300.75,973.5675,346.6539,2254.8461
rq3_seagull_memory,multi_agent_no_seagull,gpt-4o,memory_reuse_hit_rate,4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1060.5,853.1481,224.4149,1896.5851
rq4_budget_robustness,full_framework,gpt-4o,quality_score,2,0.5,0.7071,-0.48,1.48,0.4446,0.0076,0.434,0.4552,2608.0,1213.3952,926.32,4289.68
rq4_budget_robustness,multi_agent_no_compression,gpt-4o,quality_score,2,0.0,0.0,0.0,0.0,0.3468,0.0059,0.3386,0.355,2028.5,344.361,1551.24,2505.76
rq4_budget_robustness,multi_agent_no_long_horizon,gpt-4o,quality_score,2,0.0,0.0,0.0,0.0,0.3079,0.1112,0.1538,0.462,2135.0,564.2712,1352.96,2917.04
rq5_observability,full_framework,gpt-4o,diagnostic_accuracy,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2110.0,562.857,1329.92,2890.08
rq5_observability,multi_agent_plain_logs,gpt-4o,diagnostic_accuracy,2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2608.5,375.4737,2088.12,3128.88
