index,key,status,file_type,saved_as,source_url,note
1,chan2024chateval,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\001_chan2024chateval.pdf,https://openreview.net/forum?id=FQepisCUWu,ok
2,brown2020gpt3,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\002_brown2020gpt3.pdf,https://proceedings.neurips.cc/paper/2020/hash/1457c0d6bfcb4967418bfb8ac142f64a-Abstract.html,ok
3,brea2023episodic,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\003_brea2023episodic.pdf,https://doi.org/10.1038/s41467-023-38570-x,ok
4,dong2026pear,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\004_dong2026pear.pdf,https://aclanthology.org/2026.findings-eacl.237/,ok
5,edge2024graphrag,html_fallback,html,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\005_edge2024graphrag.html,https://www.microsoft.com/en-us/research/publication/from-local-to-global-a-graph-rag-approach-to-query-focused-summarization/,no_public_pdf_or_site_protection
6,du2025crossteam,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\006_du2025crossteam.pdf,https://aclanthology.org/2025.findings-acl.541/,ok
7,devlin2019bert,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\007_devlin2019bert.pdf,https://doi.org/10.18653/v1/N19-1423,ok
8,gan2025master,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\008_gan2025master.pdf,https://aclanthology.org/2025.naacl-long.476/,ok
9,guo2024llmmas,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\009_guo2024llmmas.pdf,https://doi.org/10.24963/ijcai.2024/890,ok
10,gutierrez2025ragtomemory,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\010_gutierrez2025ragtomemory.pdf,https://proceedings.mlr.press/v267/gutierrez25a.html,ok
11,hong2024metagpt,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\011_hong2024metagpt.pdf,https://openreview.net/forum?id=VtmBAGCN7o,ok
12,jiang2023llmlingua,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\012_jiang2023llmlingua.pdf,https://aclanthology.org/2023.emnlp-main.825/,ok
13,jimenezromero2025swarm,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\013_jimenezromero2025swarm.pdf,https://doi.org/10.3389/frai.2025.1593017,ok
14,li2023camel,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\014_li2023camel.pdf,https://proceedings.neurips.cc/paper_files/paper/2023/hash/a3621ee907def47c1b952ade25c67698-Abstract-Conference.html,ok
15,li2023selectivecontext,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\015_li2023selectivecontext.pdf,https://aclanthology.org/2023.emnlp-main.391/,ok
16,li2024sbarope,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\016_li2024sbarope.pdf,https://doi.org/10.3390/app14073076,ok
17,li2024masworkflow,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\017_li2024masworkflow.pdf,https://doi.org/10.1007/s44336-024-00009-2,ok
18,lan2026publicopinion,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\018_lan2026publicopinion.pdf,https://doi.org/10.1038/s41598-026-44206-z,ok
19,liu2024agentbench,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\019_liu2024agentbench.pdf,https://openreview.net/forum?id=zAdUB0aCTQ,ok
20,liu2024lostmiddle,pdf,pdf,c:\Users\24260\Desktop\研究生生涯\智能体开发范式\参考文献\编号下载\020_liu2024lostmiddle.pdf,https://aclanthology.org/2024.tacl-1.9/,ok
